bubble,insertion,merge,quick
11.4,26.0,25.1,17.6
13.2,26.2,26.1,18.1
11.1,26.2,26.1,18.1
11.4,26.0,25.1,17.6
13.2,26.2,26.1,18.1
11.4,26.0,25.1,17.6
11.1,26.2,26.1,18.1
13.2,26.2,26.1,18.1
11.4,26.0,25.1,17.6
13.2,26.2,26.1,18.5
11.8,25.2,24.1,17.7
11.6,25.0,24.4,18.6
10.5,25.2,24.0,17.7
11.6,25.0,24.4,18.6
12.5,24.8,25.2,19.3
12.5,24.8,25.2,19.3
11.6,24.2,24.4,18.6
12.2,24.2,23.9,16.8
11.1,24.8,23.9,19.3
12.2,24.2,23.9,16.8
12.1,26.8,24.8,19.9
12.1,26.8,24.8,19.9
12.5,25.0,24.4,18.6
11.9,24.9,24.5,19.0
11.9,24.9,25.2,19.0
12.5,25.0,24.4,18.6
12.3,25.2,24.0,20.2
11.4,24.9,24.5,19.0
12.3,25.2,24.0,20.2
12.2,25.9,25.1,17.6
12.2,25.9,24.8,19.1
10.2,25.6,23.2,18.9
10.2,25.6,23.2,18.9
12.2,25.9,24.8,19.1
10.2,25.6,23.2,18.9
10.2,25.6,23.2,18.9
10.2,25.6,23.2,18.9
12.2,25.9,24.8,19.1
11.7,25.9,24.8,19.1
11.1,25.6,26.1,18.9
11.4,25.9,25.1,17.6
12.3,25.2,24.0,20.2
11.4,24.9,24.5,19.0
12.3,25.2,24.0,20.2
11.9,24.9,24.5,19.0
12.5,25.0,24.4,18.6
12.5,25.0,24.4,18.6
11.4,24.9,24.5,19.0
12.1,26.8,24.8,19.9
12.1,26.8,24.8,19.9
12.2,24.2,23.9,16.8
11.1,24.8,23.9,19.3
12.2,24.2,23.9,16.8
11.6,24.2,24.4,18.6
12.5,24.8,25.2,19.3
12.5,24.8,25.2,19.3
11.6,25.0,24.4,18.6
10.5,25.2,24.0,17.7
11.6,25.0,24.4,18.6
11.8,25.2,24.1,17.7
13.2,26.2,26.1,18.5
13.2,26.2,26.1,18.1
11.4,26.0,25.1,17.6
11.4,26.0,25.1,17.6
11.1,26.2,26.1,18.1
11.1,25.6,26.1,18.1
11.4,26.0,25.1,17.6
13.2,26.2,26.1,18.1
11.1,26.2,26.1,18.1
11.4,26.0,25.1,17.6
11.2,26.0,25.1,18.3
10.5,25.2,24.0,17.7
10.5,25.2,24.0,17.7
11.6,25.0,24.4,18.6
11.8,25.2,24.1,17.7
11.6,25.0,24.4,18.6
12.5,24.8,25.2,19.3
12.5,24.8,25.2,19.3
12.2,24.2,23.9,16.8
12.2,24.2,23.9,16.8
12.3,26.8,24.0,20.2
12.1,26.8,24.8,19.9
12.5,24.8,25.2,19.3
12.1,26.8,24.8,19.9
12.5,25.0,24.4,18.6
11.9,24.9,25.2,19.0
11.9,24.9,24.5,19.0
11.6,25.0,24.4,18.6
12.5,25.0,24.4,19.7
12.3,25.2,24.0,20.2
12.3,25.2,24.0,20.2
12.2,25.9,24.8,19.1
10.2,25.6,23.2,18.9
10.2,25.6,23.2,18.9
11.7,25.9,24.8,19.1
11.7,25.9,24.8,19.1
11.7,25.9,24.8,19.1
10.2,25.6,23.2,18.9
11.7,25.9,24.8,19.1
12.2,25.9,24.8,19.1
10.2,25.6,23.2,18.9
12.3,25.2,24.0,20.2
12.5,25.0,24.5,19.7
12.3,25.2,24.0,20.2
11.9,24.9,24.5,19.0
12.5,25.0,24.4,18.6
12.5,25.0,24.4,18.6
11.9,24.9,25.2,19.0
12.1,26.8,24.8,19.9
12.5,24.8,25.2,19.3
12.1,26.8,24.8,19.9
12.3,26.8,24.0,20.2
12.2,24.2,23.9,16.8
12.2,24.2,23.9,16.8
12.5,24.8,25.2,19.3
12.5,24.8,25.2,19.3
11.6,25.0,24.4,18.6
11.8,25.2,24.1,17.7
11.6,25.0,24.4,18.6
10.5,25.2,24.0,17.7
10.5,25.2,24.0,17.7
11.2,26.0,25.1,18.3
11.1,26.2,26.1,18.1
11.4,26.0,25.1,17.6
11.4,26.0,25.1,17.6
13.2,26.2,26.1,18.1
11.1,25.6,26.1,18.1
