bubble,insertion,merge,quick
61,27,93,30
61,27,93,24
73,24,56,40
73,24,76,40
61,16,76,27
84,18,67,51
84,18,30,36
84,18,30,36
82,18,67,51
34,22,48,28
82,19,67,29
34,22,48,40
82,22,48,28
84,18,30,51
84,18,30,51
34,22,48,40
82,19,67,29
84,18,30,36
34,22,48,28
82,18,67,51
84,18,67,51
84,18,30,36
61,16,76,27
73,24,56,40
73,24,56,40
61,27,93,24
56,14,65,31
61,27,93,30
61,27,93,24
56,14,35,31
73,24,56,40
31,18,41,45
31,18,41,45
31,18,76,45
83,18,76,45
83,26,76,45
97,24,56,29
97,24,56,29
52,17,35,87
78,24,65,30
52,17,35,87
52,17,35,87
78,24,65,31
52,17,35,40
78,24,65,31
52,17,35,87
52,17,35,87
78,24,65,30
83,26,76,45
83,18,76,45
97,24,56,29
97,24,56,29
31,18,41,45
73,24,56,40
31,18,41,45
83,18,76,45
61,27,93,24
56,14,35,31
61,27,93,24
61,27,93,30
56,14,65,31
73,24,76,40
73,16,76,27
73,24,56,40
82,22,48,28
34,22,48,28
82,19,67,29
84,18,30,36
84,18,67,51
82,18,67,51
34,22,48,28
84,18,30,36
84,18,67,51
84,18,67,51
34,22,48,28
82,18,67,51
84,18,30,36
84,18,30,36
84,18,67,51
82,19,67,29
34,22,48,28
82,22,48,28
73,24,56,40
73,16,76,27
73,24,76,40
61,27,93,30
56,14,65,31
56,14,35,31
61,27,93,24
61,27,93,24
83,18,76,45
31,18,41,45
73,24,56,40
31,18,41,45
97,24,56,29
97,24,56,29
83,18,76,45
83,26,76,45
52,17,35,87
78,24,65,30
78,24,65,31
52,17,35,87
52,17,35,40
78,24,65,31
78,24,65,30
52,17,35,87
52,17,35,87
78,24,65,30
56,14,35,87
83,18,76,45
97,20,41,29
83,26,76,45
97,24,56,29
97,24,56,29
31,18,41,45
31,18,41,45
56,14,65,33
56,14,65,31
61,27,93,30
61,27,93,24
56,14,35,31
73,16,76,27
61,24,65,30
73,24,76,40
82,22,48,28
43,18,30,36
84,18,30,36
82,18,67,51
34,22,48,28
84,18,67,51
84,18,30,36
84,18,67,51
84,18,30,36
84,18,30,36
34,22,48,28
82,18,67,51
43,18,30,36
82,22,48,28
61,24,65,30
73,24,76,40
73,16,76,27
61,27,93,24
56,14,35,31
56,14,65,31
61,27,93,30
56,14,65,33
31,18,41,45
31,18,41,45
97,24,56,29
97,24,56,29
83,26,76,45
97,20,41,29
83,18,76,45
56,14,35,87
52,17,35,87
78,24,65,31
78,24,65,30
52,17,35,87
78,24,65,31
76,24,45,53
61,17,49,42
61,17,49,42
76,17,45,53
61,17,49,40
76,17,45,53
72,20,41,42
72,20,41,42
68,18,41,27
68,18,41,45
31,18,41,45
60,20,65,29
83,24,93,31
82,24,93,31
60,14,65,33
68,16,41,27
83,27,93,24
68,16,76,27
61,16,76,27
61,16,76,27
72,20,41,42
61,16,76,27
43,17,45,51
82,24,48,40
63,19,49,29
63,19,67,29
82,24,48,40
76,17,45,51
82,24,48,40
63,19,67,29
63,19,67,29
82,24,48,40
82,24,48,40
63,19,67,29
76,17,45,51
43,17,45,51
63,19,49,29
82,24,48,40
61,16,76,27
72,20,41,42
61,16,76,27
61,16,76,27
68,16,76,27
68,16,41,27
83,27,93,24
83,24,93,31
60,20,65,33
60,20,65,29
83,24,93,31
31,18,41,45
68,18,41,45
68,18,41,27
72,20,41,42
72,20,41,42
76,17,45,53
61,17,49,40
61,17,49,42
76,17,45,53
76,24,45,53
61,17,49,42
76,17,45,53
61,17,49,40
61,17,49,42
76,24,45,53
78,24,65,31
72,20,41,42
72,20,41,42
97,20,41,42
31,18,41,45
68,18,41,45
60,14,65,33
83,24,93,31
83,27,93,31
60,20,65,29
68,16,76,27
60,14,65,33
68,16,41,27
61,16,76,27
61,16,76,27
76,17,45,51
63,19,67,29
82,24,48,40
82,24,48,40
63,19,49,42
43,17,45,51
43,17,30,51
63,19,49,42
82,24,93,31
82,24,93,31
63,19,49,42
43,17,30,51
63,19,49,42
82,24,48,40
43,17,45,51
76,17,45,51
82,24,48,40
63,19,67,29
61,16,76,27
61,16,76,27
68,16,41,27
60,14,65,33
68,16,76,27
83,24,93,31
60,20,65,29
60,14,65,33
83,24,93,31
68,18,41,45
31,18,41,45
97,20,41,42
72,20,41,42
72,20,41,42
78,24,65,31
61,17,49,42
76,24,45,53
76,17,45,53
61,17,49,42
76,24,45,53
61,17,49,40
83,26,76,45
76,17,45,53
76,24,45,53
61,19,49,42
72,20,41,42
72,20,41,42
72,20,41,42
31,18,41,45
31,18,41,45
68,16,76,27
68,16,76,27
60,14,65,33
83,24,93,31
60,14,65,33
60,20,65,29
83,24,93,31
61,16,76,27
61,16,76,27
43,17,30,51
63,19,67,29
82,24,48,40
76,17,45,51
43,17,45,51
82,24,48,40
63,19,49,42
82,24,48,31
63,19,49,42
63,19,49,42
82,24,48,31
43,17,45,51
63,19,49,42
82,24,48,40
82,24,48,40
63,19,67,29
76,17,45,51
43,17,30,51
61,16,76,27
61,16,76,27
60,20,65,29
83,24,93,31
83,24,93,31
60,14,65,33
60,14,65,33
68,16,76,27
68,16,76,27
31,18,41,45
31,18,41,45
72,20,41,42
72,20,41,42
72,20,41,42
76,24,45,53
61,19,49,42
61,17,49,40
76,17,45,53
76,24,45,53
61,17,49,40
61,19,49,42
76,24,45,53
76,17,45,53
61,17,49,40
76,17,45,51
72,20,41,42
72,20,41,42
68,18,41,45
31,18,41,45
68,18,41,27
68,16,41,27
68,16,76,27
83,27,93,24
83,24,93,31
60,20,65,29
60,14,65,33
83,24,93,31
72,20,41,29
61,16,76,27
61,16,76,27
61,16,76,27
82,19,67,29
34,24,48,40
82,24,48,40
63,19,49,42
43,17,45,51
43,17,45,51
63,19,67,29
82,24,48,40
76,17,45,51
82,24,48,40
63,19,67,29
63,19,49,42
82,24,48,40
43,17,45,51
34,24,48,40
82,19,67,29
68,16,76,27
61,16,76,27
61,16,76,27
72,20,41,29
60,14,65,33
83,24,93,31
83,24,93,31
60,20,65,29
68,16,76,27
83,27,93,24
68,16,41,27
68,18,41,27
31,18,41,45
68,18,41,45
72,20,41,42
72,20,41,42
76,17,45,51
76,17,45,53
61,17,49,40
63,19,49,42
76,24,45,53
61,17,49,40
