algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;63;68;6.8;6.3
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;58;70;7.0;5.8
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;65;85;8.5;6.5
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;44;72;7.2;4.4
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;71;77;7.7;7.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;57;78;7.8;5.7
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;69;75;7.5;6.9
merge;0.01;1000;61;78;7.8;6.1
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;70;7.0;5.7
merge;0.01;1000;57;66;6.6;5.7
merge;0.01;1000;53;67;6.7;5.3
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;46;68;6.8;4.6
merge;0.01;1000;51;77;7.7;5.1
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;66;71;7.1;6.6
merge;0.01;1000;62;64;6.4;6.2
merge;0.01;1000;62;73;7.3;6.2
merge;0.01;1000;62;64;6.4;6.2
