algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;18;2857;28.57
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;16;2823;28.23
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;24;2807;28.07
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2833;28.33
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2876;28.76
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;19;2832;28.32
merge;0.05;10000;16;2843;28.43
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;18;2804;28.04
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;16;2885;28.85
merge;0.05;10000;24;2829;28.29
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;24;2810;28.10
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2831;28.31
merge;0.05;10000;21;2790;27.90
merge;0.05;10000;17;2800;28.00
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;23;2822;28.22
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;22;2838;28.38
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;21;2818;28.18
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;16;2814;28.14
merge;0.05;10000;23;2876;28.76
merge;0.05;10000;14;2826;28.26
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;15;2857;28.57
merge;0.05;10000;17;2829;28.29
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;20;2835;28.35
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;24;2809;28.09
merge;0.05;10000;17;2816;28.16
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;18;2824;28.24
merge;0.05;10000;20;2837;28.37
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;17;2817;28.17
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;18;2832;28.32
merge;0.05;10000;21;2809;28.09
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;29;2807;28.07
merge;0.05;10000;18;2873;28.73
merge;0.05;10000;21;2890;28.90
merge;0.05;10000;21;2818;28.18
